 TUDO SOBRE ARUJÁ;False;31/03/2021 14:57:22;Grupo não localizado;
DESAPEGO Vila Formosa, Carrão, Tatuapé, Vila Santa Isabel e Redondezas.;False;31/03/2021 14:58:53;Grupo não localizado;
Amigos da Cidade Tiradentes;True;31/03/2021 15:00:48;Publicação realizada;
Amigos da COHAB 1 ARTUR ALVIM;True;31/03/2021 15:02:35;Publicação realizada;
Amigos da Vila Ré;True;31/03/2021 15:04:35;Publicação realizada;
Amigos do Jd Danfer/Cisper/ Vila Sílvia;True;31/03/2021 15:06:30;Publicação realizada;
ANUNCIE GRÁTIS CIDADE TIRADENTES Z/L;True;31/03/2021 15:08:26;Publicação realizada;
ARICANDUVA - JARDIM IVA BANCÁRIA E REGIÃO - NEGÓCIOS;False;31/03/2021 15:10:06;Grupo não localizado;
ARTUR ALVIM e COHAB I;True;31/03/2021 15:12:04;Publicação realizada;
Bairro da Penha, São Paulo, SP;True;31/03/2021 15:13:54;Publicação realizada;
Bairro Jardim Vila Formosa;True;31/03/2021 15:15:42;Publicação realizada;
Barganhas e Vendas , Tietê , Cerquilho , Laranjal , Boituva , Tatuí ....;True;31/03/2021 15:17:28;Publicação realizada;
Barganhas e Vendas Cerquilho e região !!!;True;31/03/2021 15:19:26;Publicação realizada;
Bons Negócios - Vila Formosa e adjacências;True;31/03/2021 15:21:17;Publicação realizada;
Caucaia Do Alto;True;31/03/2021 15:23:23;Publicação realizada;
CLASSIFICADOS ANALIA FRANCO VILA FORMOSA CARRÃO TATUAPE AGUA RASA MOOCA;True;31/03/2021 15:25:38;Publicação realizada;
Classificados GUARAREMA sp;True;31/03/2021 15:27:29;Publicação realizada;
Classificados Guilhermina Esperança;True;31/03/2021 15:29:28;Publicação realizada;
Classificados Mooca e Região;True;31/03/2021 15:31:24;Publicação realizada;
Classificados Penha -SP;True;31/03/2021 15:33:30;Publicação realizada;
Classificados Penha, Vila Matilde e região;True;31/03/2021 15:35:25;Publicação realizada;
Classificados Vila Formosa;True;31/03/2021 15:37:17;Publicação realizada;
Classificados vila Matilde,Patriarca,Aricanduva,Nova Savoia,Euthalia região;True;31/03/2021 15:39:09;Publicação realizada;
Classificados Zona Leste de São Paulo;True;31/03/2021 15:41:10;Publicação realizada;
COHAB 2 NEGÓCIOS EM GERAL;True;31/03/2021 15:43:09;Publicação realizada;
COHAB 2, Itaquera, Guaianases, Prestes MAIA, Jd São Paulo, Compra /Venda;False;31/03/2021 15:44:50;Grupo não localizado;
Comerciantes e empresários de Nazaré paulista;True;31/03/2021 15:46:49;Publicação realizada;
Comercios Vila Prudente - Vila Alpina - Sapopemba;False;31/03/2021 15:48:20;Grupo não localizado;
COMPRA E VENDA- SÃO PAULO;True;31/03/2021 15:50:15;Publicação realizada;
COMPRA VENDE E TROCA VALE DO PARAIBA E REGIAO;True;31/03/2021 15:52:27;Publicação realizada;
Compra Vende Troca Taubate e Vale do Paraiba;True;31/03/2021 15:54:44;Publicação realizada;
Compra, troca, venda, Tatuapé, Carrão, Mooca, Vl Formosa.;True;31/03/2021 15:56:46;Publicação realizada;
COMPRA-VENDA- TROCA - SÃO JOSÉ DOS CAMPOS;True;31/03/2021 15:58:50;Publicação realizada;
Desapega Cidade Tiradentes, Guaianases e região...;True;31/03/2021 16:00:52;Publicação realizada;
Desapega Guarulhos (olx Guarulhos);False;31/03/2021 16:02:34;Grupo não localizado;
DESAPEGA TATUAPÉ!;True;31/03/2021 16:04:37;Publicação realizada;
DESAPEGA VENDA JACAREI E REGIAO;False;31/03/2021 16:06:16;Grupo não localizado;
Desapega Zona Leste Itaquera/Guaianazes/Tiradendes;True;31/03/2021 16:08:52;Publicação realizada;
Desapegando Tudo Santa Isabel Arujá e Região;True;31/03/2021 16:11:17;Publicação realizada;
Desapego A E Carvalho,Ponte Rasa,Vila Cisper e Vila Regina.;False;31/03/2021 16:13:21;Grupo não localizado;
Desapego Arthur Alvim E região.;True;31/03/2021 16:15:57;Publicação realizada;
Desapego artur alvim;True;31/03/2021 16:18:41;Publicação realizada;
DESAPEGO ARUJA TROCA E VENDAS;True;31/03/2021 16:21:26;Publicação realizada;
Desapego Cangaíba;True;31/03/2021 16:24:17;Publicação realizada;
Desapego Carapicuíba e grande São paulo.;True;31/03/2021 16:26:37;Publicação realizada;
DESAPEGO DE TUDO GUARULHOS;False;31/03/2021 16:28:19;Grupo não localizado;
Desapego e Anúncios de Vendas da Zona Leste de SP;True;31/03/2021 16:30:14;Publicação realizada;
Desapego em geral Zona Leste;True;31/03/2021 16:32:01;Publicação realizada;
Desapego Ermelino Matarazzo e Região;True;31/03/2021 16:34:01;Publicação realizada;
Desapego Guararema;True;31/03/2021 16:36:16;Publicação realizada;
